iter	Passed	Remaining
0	1	166
1	2	138
2	3	119
3	4	102
4	4	93
5	5	86
6	5	79
7	6	74
8	6	70
9	7	66
10	7	64
11	8	61
12	9	63
13	10	62
14	10	60
15	11	59
16	11	57
17	12	55
18	12	54
19	13	52
20	14	55
21	16	59
22	17	58
23	18	58
24	19	57
25	19	55
26	20	54
27	20	52
28	21	51
29	21	50
30	21	48
31	22	47
32	22	46
33	23	45
34	23	44
35	24	43
36	24	42
37	25	41
38	25	40
39	26	39
40	26	38
41	27	37
42	27	36
43	28	35
44	29	36
45	30	36
46	31	35
47	32	34
48	32	34
49	33	33
50	33	32
51	34	31
52	34	30
53	35	29
54	35	29
55	35	28
56	36	27
57	37	26
58	37	26
59	38	25
60	38	24
61	39	23
62	39	23
63	40	22
64	40	21
65	41	21
66	41	20
67	42	20
68	46	20
69	47	20
70	47	19
71	48	18
72	48	18
73	49	17
74	49	16
75	50	15
76	51	15
77	51	14
78	52	13
79	52	13
80	53	12
81	53	11
82	54	11
83	54	10
84	55	9
85	55	9
86	55	8
87	56	7
88	56	7
89	58	6
90	60	6
91	62	5
92	62	4
93	63	4
94	64	3
95	64	2
96	65	2
97	65	1
98	66	0
99	66	0
