iter	Passed	Remaining
0	154	154611
1	155	77646
2	156	51940
3	157	39125
4	157	31403
5	158	26252
6	159	22577
7	159	19817
8	160	17666
9	161	15942
10	161	14534
11	162	13363
12	162	12366
13	163	11511
14	163	10768
15	164	10118
16	165	9543
17	165	9052
18	166	8622
19	167	8209
20	168	7834
21	168	7492
22	169	7180
23	169	6893
24	170	6632
25	170	6389
26	171	6163
27	171	5953
28	171	5758
29	172	5576
30	172	5405
31	173	5245
32	173	5095
33	174	4954
34	174	4820
35	175	4694
36	175	4575
37	176	4462
38	176	4355
39	177	4253
40	177	4156
41	178	4063
42	178	3976
43	179	3891
44	179	3811
45	180	3744
46	181	3679
47	182	3610
48	182	3547
49	183	3482
50	183	3422
51	184	3362
52	184	3303
53	185	3247
54	185	3193
55	186	3141
56	186	3090
57	187	3041
58	187	2995
59	188	2949
60	188	2905
61	189	2862
62	189	2820
63	190	2780
64	190	2742
65	191	2704
66	191	2667
67	192	2632
68	192	2597
69	193	2565
70	193	2532
71	194	2501
72	195	2482
73	196	2458
74	197	2432
75	198	2408
76	198	2380
77	199	2352
78	199	2325
79	199	2299
80	200	2274
81	200	2249
82	201	2222
83	201	2198
84	202	2175
85	202	2152
86	203	2130
87	203	2108
88	203	2087
89	204	2066
90	204	2046
91	205	2026
92	205	2007
93	206	1988
94	206	1969
95	207	1951
96	207	1933
97	208	1915
98	208	1898
99	209	1881
100	209	1868
101	210	1853
102	211	1840
103	211	1825
104	212	1812
105	213	1799
106	214	1790
107	215	1779
108	215	1765
109	216	1751
110	216	1737
111	217	1723
112	218	1711
113	218	1698
114	218	1685
115	219	1672
116	219	1658
117	220	1646
118	220	1634
119	221	1622
120	221	1610
121	222	1597
122	222	1586
123	222	1575
124	223	1564
125	223	1553
126	224	1543
127	225	1535
128	226	1527
129	226	1517
130	227	1507
131	227	1497
132	228	1487
133	228	1477
134	229	1468
135	229	1458
136	230	1449
137	230	1440
138	231	1431
139	231	1422
140	231	1413
141	232	1403
142	232	1394
143	233	1386
144	233	1378
145	234	1369
146	234	1361
147	235	1353
148	235	1345
149	236	1337
150	236	1329
